name,salary,points,position,id
Barak Itzhaki,4300,0.4,F,418012
Rafael,4300,0.8,D,465468
Thibaut Courtois,4300,6.3,GK,496415
Bruno Martins Indi,4300,1.4,D,551147
Alessandro Florenzi,4300,11.4,M,595981
Lukasz Teodorczyk,4300,0.0,F,600141
Jordan Ferri,4300,4.8,M,615385
Josip Pivaric,4300,11.6,D,698690
Gerard Piqué,4200,3.4,D,348781
Oleh Gusev,4200,13.5,M,348895
Enzo Pérez,4200,2.9,M,372417
Iván Marcano,4200,2.0,D,411888
Thomas Matton,4200,7.8,M,466944
Danilo Silva,4200,10.8,D,512556
Alan Pulido,4200,0.0,F,540218
Matz Sels,4200,4.5,GK,554668
Kalifa Coulibaly,4200,0.0,F,604543
Mathew Ryan,4200,8.5,GK,634279
Zakarie Labidi,4200,0.0,F,722160
Julian Green,4200,0.0,F,787674
Timothé Cognat,4200,0.0,M,891845
Esteban Cambiasso,4100,0.0,M,346461
Javi Fuego,4100,0.9,M,402111
Roberto,4100,9.5,GK,444249
Paulo Machado,4100,4.2,M,461522
Denys Garmash,4100,11.8,M,521801
Samuel Umtiti,4100,3.9,D,558159
Sérgio Oliveira,4100,0.0,M,572788
Juan Bernat,4100,4.3,D,611704
Illya Aleksievich,4100,0.9,M,661020
Vitaliy Buyalskiy,4100,7.5,M,699468
Nemanja Nikolic,4100,9.5,M,712998
Lucas Tousart,4100,0.0,M,881331
Rafinha,4000,0.0,D,345646
John Terry,4000,1.4,D,345925
Tomas Rosicky,4000,0.0,M,345967
Mikel Arteta,4000,0.5,M,346160
Christophe Jallet,4000,11.8,D,347882
Evandro,4000,0.0,M,374510
Mehdi Benatia,4000,0.0,D,375441
Antunes,4000,4.5,D,390578
Mapou Yanga-Mbiwa,4000,2.0,D,440664
Sebastian Rode,4000,0.0,M,446253
Laurent Koscielny,4000,3.4,D,459434
Aleksandr Riazantsev,4000,0.0,M,482175
Shkodran Mustafi,4000,2.7,D,499547
Nemanja Matic,4000,3.3,M,500460
Nikola Mitrovic,4000,3.8,M,543840
Aleksandar Jevtic,4000,0.0,F,545318
Jesús Corona,4000,2.0,F,558417
Serhiy Rybalka,4000,3.5,M,592140
Luka Milivojevic,4000,0.0,M,620764
Patrick Weihrauch,4000,0.0,F,660416
Thomas Foket,4000,0.8,M,679771
Christopher Martins Pereira,4000,0.0,M,728573
Moses Simon,4000,1.0,F,737804
Rodrigo De Paul,4000,1.0,M,757508
Danilo,4000,0.0,M,793395
Ante Coric,4000,2.3,M,794487
Vladlen Yurchenko,4000,0.0,F,831053
Tropi,4000,0.0,M,863460
Fran Villalba,4000,0.0,M,884487
Killian Pagliuca,4000,0.0,F,891843
Endri Cekici,4000,0.0,F,892142
Roberto Hilbert,3900,4.4,D,345770
Niko Kranjcar,3900,0.0,M,346184
Gil Vermouth,3900,5.5,M,349431
Aleksandr Anyukov,3900,2.4,D,372505
Kyriakos Papadopoulos,3900,6.4,D,409125
Holger Badstuber,3900,0.0,D,462565
Clément Grenier,3900,0.0,M,470914
Lucas Orban,3900,7.8,D,513974
Marc Bartra,3900,0.0,D,539036
Domagoj Antolic,3900,2.7,M,541545
Lucas Digne,3900,8.6,D,558151
Nosa Igiebor,3900,1.9,M,573611
Artur Yusupov,3900,0.8,M,591177
Avi Rikan,3900,3.4,M,728106
Chico Ramos,3900,0.0,M,787867
Kenny Saief,3900,3.5,M,844719
Marko Rog,3900,0.8,M,858171
Marlon Frey,3900,0.0,M,864022
Jérémy Mathieu,3800,3.4,D,347524
Henri Bedimo,3800,0.0,D,370625
Miguel Layún,3800,6.7,D,375578
Vasilis Torosidis,3800,7.0,D,409126
Rafinha,3800,1.0,D,479228
Radosav Petrovic,3800,0.0,M,481192
Rachid Ghezzal,3800,0.0,M,558157
Arijan Ademi,3800,0.8,M,566509
Kostas Fortounis,3800,7.9,M,567573
Omar Elabdellaoui,3800,2.0,D,582667
Dor Micha,3800,1.8,M,614705
Calum Chambers,3800,2.9,D,692237
Serhiy Sydorchuk,3800,2.0,M,725470
Rubén Vezo,3800,1.4,D,734139
Wendell,3800,4.3,D,739495
Joao Graça,3800,0.0,M,787866
Serhiy Miakushko,3800,0.0,M,864454
John Obi Mikel,3700,1.7,M,330396
Maicon,3700,0.0,D,346587
Arnold Mvuemba,3700,0.0,M,347652
Mathieu Debuchy,3700,5.1,D,347705
Jérémy Morel,3700,5.4,D,347858
Thomas Vermaelen,3700,0.0,D,348168
Oleksandr Shovkovskiy,3700,12.0,GK,348924
Gal Alberman,3700,1.9,M,417950
Aleksandar Dragovic,3700,2.5,D,457377
Omer Toprak,3700,0.0,D,468048
Francis Coquelin,3700,1.9,M,478140
Younes Belhanda,3700,0.0,M,508851
Hannes Van der Bruggen,3700,0.0,M,556331
Igor Smolnikov,3700,4.9,D,589008
Joel Campbell,3700,2.6,F,604434
Tomas Podstawski,3700,0.0,M,615401
Gonçalo,3700,0.8,M,698291
Joshua Kimmich,3700,2.1,M,741209
Mathieu Flamini,3600,0.0,M,346145
Milan Bisevac,3600,2.0,D,347921
Ezequiel Garay,3600,2.8,D,348765
Oleksandr Rybka,3600,-2.0,GK,349008
Viktor Fayzulin,3600,0.0,M,442366
Dmitri Baga,3600,0.5,M,473913
Nicklas Pedersen,3600,0.0,F,479071
Yevhen Khacheridi,3600,4.3,D,521802
Domagoj Vida,3600,0.0,D,547151
Andreas Bouchalakis,3600,0.0,M,619492
Domagoj Pavicic,3600,0.0,M,699541
Tin Jedvaj,3600,0.0,D,736458
Ruben Macedo,3600,0.0,M,845951
Nemanja Milunovic,3600,5.3,D,884982
Nicolas Lombaerts,3500,1.4,D,347082
Manuel Da Costa,3500,2.8,D,348285
Adriano,3500,0.0,D,348698
Helton,3500,0.0,GK,349045
Leonardo Sigali,3500,4.0,D,371764
Kieran Gibbs,3500,0.8,D,383616
Radja Nainggolan,3500,3.9,M,473096
Damir Sovsic,3500,0.0,M,612568
Dzmitry Mozolevski,3500,0.0,F,612646
Benito Raman,3500,0.9,F,616917
Antonio Rudiger,3500,2.0,D,637347
Bertrand Traoré,3500,1.0,M,640427
Dan Einbinder,3500,0.0,M,708835
Luis Mata,3500,0.0,F,787871
Bruno Costa,3500,0.0,F,787875
André Silva,3500,0.0,F,787877
Dmitri Antilevski,3500,0.0,F,840957
Rui Moreira,3500,0.0,M,845947
Sergio Ribeiro,3500,0.0,F,845952
Predrag Rajkovic,3500,0.0,GK,850993
Aleksei Rios,3500,0.0,M,884969
Mouctar Diakhaby,3500,0.0,D,891823
Amer Gojak,3500,0.0,M,892141
Dmitri Likhtarovich,3400,0.0,M,419619
Jan Kirchhoff,3400,0.0,D,485048
Konstantinos Manolas,3400,2.1,D,490673
Giulio Donati,3400,1.0,D,536063
Salih Uçan,3400,0.0,M,594855
Sergi Darder,3400,0.8,M,607943
Sergey Chernik,3400,7.8,GK,728084
Jonathan Tah,3400,3.4,D,740979
Gianluca Gaudino,3400,0.0,M,839281
Shlomi Yosef Azulay,3400,0.0,M,873237
Haviv Ohayon,3400,0.0,GK,887120
Dan Glazer,3400,0.0,M,891530
Niklas Dorsch,3400,0.0,M,892081
Sebastian Boenisch,3300,0.0,D,345726
Tal Ben Haim,3300,0.7,D,346167
Gary Cahill,3300,2.6,D,346244
Jérémy Taravel,3300,6.8,D,395465
Domenico Criscito,3300,1.5,D,396435
Nana Asare,3300,5.1,D,396601
David Ospina,3300,-1.0,GK,399085
Yuval Shpungin,3300,1.8,D,418102
Sven Ulreich,3300,0.0,GK,441440
Kaspars Dubra,3300,0.0,D,493900
Douglas,3300,0.0,D,512494
Edgar Olekhnovich,3300,0.0,M,561287
Seba,3300,0.4,M,603063
Dylan Mboumbouni,3300,0.0,D,723233
Uros Vitas,3300,0.0,D,818056
Sahar Hasson,3300,0.0,GK,820401
Olivier Kemen,3300,0.0,M,839810
Dor Peretz,3300,0.9,M,887122
Leandro Salino,3200,5.6,D,387292
Aleksandr Volodko,3200,1.7,M,477374
Eitan Tibi,3200,1.1,D,556329
Maksim Zhavnerchik,3200,6.1,D,589635
Ivo Pinto,3200,6.3,D,605660
Kurt Zouma,3200,3.6,D,605690
Luis Neto,3200,0.0,D,607949
Filip Mladenovic,3200,11.1,D,656330
Stefan Mitrovic,3200,1.9,D,659992
Arthur Masuaku,3200,1.8,D,722940
Aderllan Santos,3200,0.0,D,726144
Hernani,3200,0.9,M,727504
Daniel Lifshitz,3200,0.0,GK,891529
Brian Vandenbussche,3100,0.0,GK,348202
Barragán,3100,3.5,D,348780
Vyacheslav Malafeev,3100,0.0,GK,372501
Lasse Nielsen,3100,2.1,D,415435
Dario Kresic,3100,0.0,GK,415501
Yoel,3100,0.0,GK,444177
Dimitris Siovas,3100,0.5,D,511155
Mathieu Gorgelin,3100,0.0,GK,519817
Lindsay Rose,3100,0.0,D,553949
Denis Polyakov,3100,2.5,D,578837
Omri Ben Harush,3100,1.5,D,612704
Alexandru Matel,3100,0.0,D,613410
Jamal Blackman,3100,0.0,GK,619748
Artem Soroko,3100,0.0,GK,699832
Yevhen Makarenko,3100,0.0,D,789983
Antonio Jezina,3100,0.0,GK,846892
Pavel Bogush,3100,0.0,M,884994
Toni Lato,3100,0.0,D,885157
Per Mertesacker,3000,3.1,D,345605
