"Sport","Entry","Contest_Date_EST","Place","Points","Winnings_Non_Ticket","Winnings_Ticket","Contest_Entries","Entry_Fee","Prize_Pool","Places_Paid"
"NFL","NFL $1M Kickoff Million [$1 Million Guaranteed]  (Thu) (41/41)","2015-10-15 20:25:00",170197,157.22,"$0.00","$0.00",383333,"$3.00","$1,000,000.00",84950
"NFL","NFL $1M Kickoff Million [$1 Million Guaranteed]  (Thu) (26/41)","2015-10-15 20:25:00",180742,155.4,"$0.00","$0.00",383333,"$3.00","$1,000,000.00",84950
"NFL","NFL $1M Kickoff Million [$1 Million Guaranteed]  (Thu) (28/41)","2015-10-15 20:25:00",196435,152.68,"$0.00","$0.00",383333,"$3.00","$1,000,000.00",84950
"NFL","NFL $1M Kickoff Million [$1 Million Guaranteed]  (Thu) (23/41)","2015-10-15 20:25:00",207319,150.8,"$0.00","$0.00",383333,"$3.00","$1,000,000.00",84950
"NFL","NFL $1M Kickoff Million [$1 Million Guaranteed]  (Thu) (17/41)","2015-10-15 20:25:00",221170,148.36,"$0.00","$0.00",383333,"$3.00","$1,000,000.00",84950
"NFL","NFL $1M Kickoff Million [$1 Million Guaranteed]  (Thu) (16/41)","2015-10-15 20:25:00",240057,145,"$0.00","$0.00",383333,"$3.00","$1,000,000.00",84950
"NFL","NFL $1M Kickoff Million [$1 Million Guaranteed]  (Thu) (27/41)","2015-10-15 20:25:00",277205,137.9,"$0.00","$0.00",383333,"$3.00","$1,000,000.00",84950
"NFL","NFL $1M Kickoff Million [$1 Million Guaranteed]  (Thu) (24/41)","2015-10-15 20:25:00",339571,121.64,"$0.00","$0.00",383333,"$3.00","$1,000,000.00",84950
"NFL","NFL $5 50/50! by fillabong (Thu)","2015-10-15 20:25:00",2,199.92,"$9.00","$0.00",30,"$5.00","$135.00",15
"NFL","NFL $20 50/50  (Thu)","2015-10-15 20:25:00",10,121.64,"$0.00","$0.00",10,"$20.00","$180.00",5
"NFL","NFL $20 50/50  (Thu)","2015-10-15 20:25:00",1,211.82,"$36.00","$0.00",20,"$20.00","$360.00",10
"NFL","NFL $20 50/50  (Thu)","2015-10-15 20:25:00",3,199.92,"$36.00","$0.00",20,"$20.00","$360.00",10
"NFL","NFL $350K Gridiron [$350K Guaranteed]  (Thu) (1/3)","2015-10-15 20:25:00",38,222.52,"$500.00","$0.00",14790,"$27.00","$350,000.00",3100
"NFL","NFL $350K Gridiron [$350K Guaranteed]  (Thu) (3/3)","2015-10-15 20:25:00",2076,181.88,"$45.00","$0.00",14790,"$27.00","$350,000.00",3100
"NFL","NFL $350K Gridiron [$350K Guaranteed]  (Thu) (2/3)","2015-10-15 20:25:00",3362,173.42,"$0.00","$0.00",14790,"$27.00","$350,000.00",3100
"NFL","NFL $5 50/50! by JCDRAIDERS1 (Thu)","2015-10-15 20:25:00",8,187.64,"$9.00","$0.00",50,"$5.00","$225.00",25
"NFL","NFL MASSIVE $5 Double Up [$100,000 Guaranteed]  (Thu) (1/15)","2015-10-15 20:25:00",25,222.52,"$10.00","$0.00",22700,"$5.00","$100,000.00",10000
"NFL","NFL MASSIVE $5 Double Up [$100,000 Guaranteed]  (Thu) (2/15)","2015-10-15 20:25:00",25,222.52,"$10.00","$0.00",22700,"$5.00","$100,000.00",10000
"NFL","NFL MASSIVE $5 Double Up [$100,000 Guaranteed]  (Thu) (3/15)","2015-10-15 20:25:00",25,222.52,"$10.00","$0.00",22700,"$5.00","$100,000.00",10000
"NFL","NFL MASSIVE $5 Double Up [$100,000 Guaranteed]  (Thu) (4/15)","2015-10-15 20:25:00",25,222.52,"$10.00","$0.00",22700,"$5.00","$100,000.00",10000
"NFL","NFL MASSIVE $5 Double Up [$100,000 Guaranteed]  (Thu) (5/15)","2015-10-15 20:25:00",25,222.52,"$10.00","$0.00",22700,"$5.00","$100,000.00",10000
"NFL","NFL MASSIVE $5 Double Up [$100,000 Guaranteed]  (Thu) (6/15)","2015-10-15 20:25:00",25,222.52,"$10.00","$0.00",22700,"$5.00","$100,000.00",10000
"NFL","NFL MASSIVE $5 Double Up [$100,000 Guaranteed]  (Thu) (7/15)","2015-10-15 20:25:00",25,222.52,"$10.00","$0.00",22700,"$5.00","$100,000.00",10000
"NFL","NFL MASSIVE $5 Double Up [$100,000 Guaranteed]  (Thu) (8/15)","2015-10-15 20:25:00",25,222.52,"$10.00","$0.00",22700,"$5.00","$100,000.00",10000
"NFL","NFL MASSIVE $5 Double Up [$100,000 Guaranteed]  (Thu) (9/15)","2015-10-15 20:25:00",25,222.52,"$10.00","$0.00",22700,"$5.00","$100,000.00",10000
"NFL","NFL MASSIVE $5 Double Up [$100,000 Guaranteed]  (Thu) (10/15)","2015-10-15 20:25:00",25,222.52,"$10.00","$0.00",22700,"$5.00","$100,000.00",10000
"NFL","NFL MASSIVE $5 Double Up [$100,000 Guaranteed]  (Thu) (11/15)","2015-10-15 20:25:00",25,222.52,"$10.00","$0.00",22700,"$5.00","$100,000.00",10000
"NFL","NFL MASSIVE $5 Double Up [$100,000 Guaranteed]  (Thu) (12/15)","2015-10-15 20:25:00",25,222.52,"$10.00","$0.00",22700,"$5.00","$100,000.00",10000
"NFL","NFL MASSIVE $5 Double Up [$100,000 Guaranteed]  (Thu) (13/15)","2015-10-15 20:25:00",25,222.52,"$10.00","$0.00",22700,"$5.00","$100,000.00",10000
"NFL","NFL MASSIVE $5 Double Up [$100,000 Guaranteed]  (Thu) (14/15)","2015-10-15 20:25:00",25,222.52,"$10.00","$0.00",22700,"$5.00","$100,000.00",10000
"NFL","NFL MASSIVE $5 Double Up [$100,000 Guaranteed]  (Thu) (15/15)","2015-10-15 20:25:00",25,222.52,"$10.00","$0.00",22700,"$5.00","$100,000.00",10000
