name,salary,points,position,id
Marvin Jones,3500,9.6,WR,1872
Mohamed Sanu,3200,6.6,WR,1875
EJ Manuel,5000,12.3,QB,2114
Marquise Goodwin,3000,2.7,WR,2118
Robert Woods,3000,5.7,WR,2122
Chris Gragg,2500,0.9,TE,2123
Giovani Bernard,4600,14,RB,2273
Rex Burkhead,3000,0.9,RB,2274
Tyler Eifert,4900,12.8,TE,2279
Sammy Watkins,5400,11,WR,2432
AJ McCarron,5000,0,QB,2554
Jeremy Hill,5700,8.8,RB,2555
Ryan Hewitt,2500,1.5,TE,2558
Karlos Williams,5300,8,RB,2733
Mario Alford,3000,0,WR,2778
Tyler Kroft,2500,0.2,TE,2779
C.J. Uzomah,2500,0,TE,2780
Jay Cutler,5200,15.7,QB,28
Dan Orlovsky,5000,0.4,QB,75
Matt Forte,7100,17.8,RB,175
Calvin Johnson,7300,17.5,WR,454
Lance Moore,3000,5.1,WR,493
Eddie Royal,3600,8.2,WR,526
Martellus Bennett,4800,12.7,TE,602
Matthew Stafford,5300,16.5,QB,793
Zach Miller,2500,0.4,TE,880
Brandon Pettigrew,2500,4.6,TE,888
Chicago Bears,2400,5.5,DEF,1049
Detroit Lions,2500,6,DEF,1062
Jimmy Clausen,5000,0.3,QB,1112
Marc Mariani,3000,0.2,WR,1160
Golden Tate,5200,13.2,WR,1170
Joique Bell,3400,5.7,RB,1220
Jacquizz Rodgers,3000,0.8,RB,1424
Jeremy Ross,3000,4.4,WR,1629
Alshon Jeffery,6400,13,WR,1895
Josh Bellamy,3200,2.2,WR,2006
Marquess Wilson,4000,9.4,WR,2299
Corey Fuller,3000,2.5,WR,2304
Theo Riddick,3300,7.4,RB,2305
Tim Wright,2500,4.8,TE,2396
Ka'Deem Carey,3000,1,RB,2580
TJ Jones,3000,0.3,WR,2585
Eric Ebron,3300,8.1,TE,2587
Jeremy Langford,3000,3.2,RB,2786
Ameer Abdullah,4000,11.5,RB,2788
Cameron Meredith,3000,4.2,WR,2850
Zach Zenner,3000,3.4,RB,2856
Khari Lee,2500,0.4,TE,2867
Peyton Manning,6600,16.3,QB,66
Josh McCown,5400,12.6,QB,69
Dwayne Bowe,3000,1.8,WR,343
Andre Caldwell,3000,2,WR,358
Gary Barnidge,4400,9.7,TE,600
Owen Daniels,2700,6.3,TE,622
Brian Hartline,3000,5.7,WR,839
Jordan Norwood,3000,4.6,WR,985
Cleveland Browns,2200,5.3,DEF,1060
Denver Broncos,3700,10,DEF,1061
Emmanuel Sanders,7500,16.3,WR,1168
Demaryius Thomas,7900,17.8,WR,1172
Jim Dray,2500,1.7,TE,1183
Marlon Moore,3000,0.6,WR,1286
Andrew Hawkins,3000,6.6,WR,1385
Virgil Green,2500,3,TE,1463
Rob Housler,2500,2.1,TE,1465
Shaun Draughn,3000,0.9,RB,1502
Brock Osweiler,5000,0.3,QB,1814
Ronnie Hillman,4600,8.2,RB,1815
Robert Turbin,3000,1.3,RB,1849
Austin Davis,5000,0.2,QB,1853
Travis Benjamin,5000,11.7,WR,1883
C.J. Anderson,4500,9.1,RB,2184
Juwan Thompson,3000,1.7,RB,2488
Bennie Fowler,3000,3,WR,2490
Cody Latimer,3000,0.3,WR,2492
Johnny Manziel,5000,1.5,QB,2562
Isaiah Crowell,4200,8.7,RB,2564
Taylor Gabriel,3100,5.3,WR,2567
Trevor Siemian,5000,0,QB,2750
Duke Johnson,4500,10.5,RB,2781
Malcolm Johnson,3000,1.3,RB,2783
Emmanuel Bibbs,2500,0,TE,2946
Mitchell Henry,2500,0,TE,2956
Chad Henne,5000,1.2,QB,52
Nate Washington,3100,7.9,WR,571
Marcedes Lewis,2700,3,TE,668
Brian Hoyer,5100,12.7,QB,901
Arian Foster,7000,18.3,RB,917
Jacksonville Jaguars,2700,7,DEF,1052
Houston Texans,3000,7.6,DEF,1063
Toby Gerhart,3000,3.3,RB,1127
Garrett Graham,2500,4.7,TE,1186
Clay Harbor,2500,1.3,TE,1190
Ryan Mallett,5000,1.5,QB,1396
Cecil Shorts III,3200,8.8,WR,1457
Julius Thomas,4000,9.4,TE,1471
Bernard Pierce,3000,0.9,RB,1866
Keshawn Martin,3000,3.4,WR,1927
Chris Polk,3000,2.9,RB,1996
Jonathan Grimes,3000,1.6,RB,2055
DeAndre Hopkins,7700,18.2,WR,2338
Denard Robinson,3000,4.8,RB,2353
Alfred Blue,3800,4.5,RB,2609
Jay Prosch,3000,1.2,RB,2610
C.J. Fiedorowicz,2500,2.7,TE,2616
Blake Bortles,5200,15.7,QB,2627
Allen Hurns,5000,12,WR,2633
Marqise Lee,3000,6.1,WR,2634
Allen Robinson,5900,14.6,WR,2635
Keith Mumphery,3200,4.1,WR,2797
Jaelen Strong,3000,5.5,WR,2798
T.J. Yeldon,4800,12.5,RB,2878
Matt Moore,5000,0.3,QB,72
Charlie Whitehurst,5000,0.1,QB,110
Harry Douglas,3000,6.6,WR,384
Greg Jennings,3000,5.2,WR,451
Delanie Walker,3600,10.1,TE,564
Anthony Fasano,2500,3.8,TE,634
Craig Stevens,2500,1,TE,718
Tennessee Titans,2900,7.6,DEF,1044
Miami Dolphins,2800,6.5,DEF,1053
Dexter McCluster,3000,6.4,RB,1161
Jordan Cameron,3000,10.1,TE,1461
Ryan Tannehill,5700,16,QB,1758
Jonas Gray,3000,2.2,RB,1759
Lamar Miller,4300,12.3,RB,1761
Rishard Matthews,4200,8.7,WR,1765
Phillip Supernaw,2500,0.4,TE,1929
Kendall Wright,5200,12.7,WR,1961
Dion Sims,2500,3.3,TE,2133
Jake Stoneburner,2500,2.9,TE,2322
Justin Hunter,3000,5.9,WR,2361
Kenny Stills,3000,7,WR,2388
Damien Williams,3000,3.5,RB,2435
Matt Hazel,3000,0,WR,2436
Jarvis Landry,6200,15.1,WR,2437
Terrance West,3300,0.9,RB,2565
Zach Mettenberger,5000,0.6,QB,2639
Antonio Andrews,3400,7.2,RB,2640
Bishop Sankey,3800,7.2,RB,2642
DeVante Parker,3000,6.3,WR,2737
Marcus Mariota,5800,16.1,QB,2801
Jalston Fowler,3000,1.2,RB,2803
Dorial Green-Beckham,3100,5.6,WR,2804
Derek Anderson,5000,0.3,QB,2
Tarvaris Jackson,5000,0.2,QB,56
Fred Jackson,3000,3.9,RB,204
Marshawn Lynch,6900,12.7,RB,230
Jonathan Stewart,3900,9.7,RB,287
Mike Tolbert,3000,4.2,RB,294
Jerricho Cotchery,3000,5.4,WR,373
Ted Ginn Jr.,3400,9.4,WR,406
Greg Olsen,5500,12.3,TE,684
Carolina Panthers,3000,8,DEF,1048
Seattle Seahawks,3800,8.2,DEF,1056
Joe Webb,5000,0,QB,1174
Ed Dickson,2500,3.1,TE,1182
Jimmy Graham,5400,11.1,TE,1187
Richie Brockel,2500,0,TE,1357
Cam Newton,6700,16.2,QB,1398
Doug Baldwin,4100,10.2,WR,1549
Ricardo Lockette,3000,1.6,WR,1609
Chris Matthews,3000,3.1,WR,1612
Russell Wilson,6500,17.7,QB,1847
