name,salary,points,position,id
Vincent Lecavalier,3600,0.0,C,170811
Valtteri Filppula,3600,1.7,C,297132
Jay Beagle,3600,0.1,C,447212
David Desharnais,3600,2.8,C,451706
Ryan Ellis,3600,1.7,D,504263
Kyle Palmieri,3600,2.5,RW,504309
Brian Flynn,3600,2.2,C,653311
Sam Bennett,3600,1.0,C,831069
David Jones,3500,2.7,RW,385875
Valeri Nichushkin,3500,1.2,RW,741413
Michael Stone,3400,2.4,D,478687
Jason Chimera,3300,2.9,LW,171321
Derek MacKenzie,3300,1.4,C,171391
Lars Eller,3300,2.3,C,392954
Nick Leddy,3300,0.9,D,504293
David Savard,3300,1.9,D,547799
Andre Burakovsky,3300,1.5,LW,741463
Nikolay Kulemin,3200,2.0,LW,386162
Colton Sceviour,3200,1.3,C,490373
Matt Calvert,3200,0.8,LW,522269
Adam Larsson,3200,1.4,D,600078
Matt Cullen,3100,1.2,C,170712
Marek Zidlicky,3100,1.6,D,178388
Brian Boyle,3100,2.4,C,229389
Lee Stempniak,3100,2.4,RW,296123
Jeff Petry,3100,2.6,D,542700
Dmitrij Jaskin,3100,1.3,RW,607588
Jay Bouwmeester,3000,2.3,D,172162
Zbynek Michalek,3000,2.6,D,172653
Brooks Laich,3000,1.4,C,184289
Kyle Brodziak,3000,1.3,C,253323
Travis Zajac,3000,1.1,C,269235
Mikhail Grabovski,3000,2.0,C,329417
Jiri Tlusty,3000,1.4,RW,329541
Ian Cole,3000,2.5,D,392959
Jason Demers,3000,2.7,D,479603
Eric Gelinas,3000,1.7,D,547077
Brian Dumoulin,3000,0.9,D,654336
Ryan Murray,3000,1.8,D,659809
Damon Severson,3000,2.0,D,660810
Mattias Janmark,3000,3.0,C,743257
Willie Mitchell,2900,2.1,D,171099
R.J. Umberger,2900,3.0,C,178003
Steve Bernier,2900,0.0,RW,229380
Rene Bourque,2900,1.4,RW,263094
Andy Greene,2900,2.4,D,323176
Dale Weise,2900,2.2,RW,477659
Devante Smith-Pelly,2900,0.6,RW,554489
Colton Parayko,2900,2.8,D,680852
Josh Jooris,2900,0.7,C,746470
Scott Gomez,2800,1.2,C,170878
Scottie Upshall,2800,2.7,RW,172191
Matthew Carle,2800,1.6,D,230687
David Clarkson,2800,0.3,RW,296815
Steve Downie,2800,1.5,RW,300810
Erik Condra,2800,1.6,RW,504680
Erik Gudbranson,2800,1.7,D,550753
Radko Gudas,2800,1.0,D,554520
Antoine Roussel,2800,1.5,LW,594801
Vladislav Namestnikov,2800,1.8,C,600129
Stefan Matteau,2800,0.5,LW,659875
Daniel Sprong,2800,1.5,RW,878167
Vernon Fiddler,2700,0.5,C,172464
Fedor Tyutin,2700,1.2,D,172476
Brad Richardson,2700,0.9,C,296053
David Schlemko,2700,1.2,D,397070
Chris Butler,2700,0.0,D,448201
Calvin de Haan,2700,2.2,D,504279
Kevin Connauton,2700,0.8,D,544737
Cody Goloubef,2700,3.0,D,544881
Austin Watson,2700,1.8,LW,550768
Calle Jarnkrok,2700,1.3,C,554498
Markus Granlund,2700,0.0,C,607594
Cedric Paquette,2700,1.5,C,680978
Sergei Plotnikov,2700,0.9,LW,878479
Barret Jackman,2600,1.3,D,171036
Steve Ott,2600,0.8,C,172443
Tom Gilbert,2600,1.4,D,184270
Torrey Mitchell,2600,1.8,RW,379101
Thomas Hickey,2600,1.0,D,392945
Ryan White,2600,0.9,RW,409772
Cody Hodgson,2600,1.1,C,456702
Carl Gunnarsson,2600,2.6,D,499847
Robert Bortuzzo,2600,1.9,D,521554
Casey Cizikas,2600,1.0,C,521884
Gabriel Bourque,2600,0.8,RW,544186
Dmitry Orlov,2600,1.0,D,590259
Mattias Ekholm,2600,0.9,D,595927
Jamie Oleksiak,2600,0.0,D,600110
Connor Murphy,2600,1.4,D,600120
Joel Edmundson,2600,1.3,D,607596
J.T. Brown,2600,1.7,RW,653290
Viktor Arvidsson,2600,1.5,LW,831465
Nick Schultz,2500,0.8,D,171320
Eric Nystrom,2500,1.1,LW,172179
Jordin Tootoo,2500,1.4,RW,172192
Boyd Gordon,2500,0.9,C,172229
Shawn Thornton,2500,0.6,LW,173242
Travis Moen,2500,0.4,LW,174717
Paul Gaustad,2500,1.3,C,176127
Rob Scuderi,2500,1.1,D,178001
Tuomo Ruutu,2500,0.9,LW,184079
Gregory Campbell,2500,0.3,C,184276
Matt Stajan,2500,0.7,C,184318
Braydon Coburn,2500,1.3,D,229372
Deryk Engelland,2500,0.8,D,235763
Kyle Chipchura,2500,1.2,C,269233
Nicklas Grossmann,2500,0.7,D,297844
Johnny Oduya,2500,1.2,D,330276
John Scott,2500,0.0,LW,355880
Jared Boll,2500,0.5,RW,381464
Ryan Reaves,2500,0.5,RW,386160
Cal Clutterbuck,2500,1.6,RW,386556
Kevin Porter,2500,1.3,C,448217
Stephen Gionta,2500,0.7,C,451925
Ben Lovejoy,2500,1.3,D,452359
Luke Schenn,2500,0.5,D,456628
Taylor Chorney,2500,1.0,D,457050
Joe Vitale,2500,0.3,C,495950
Victor Bartley,2500,0.0,D,498232
Paul Byron,2500,0.0,C,499851
Jordie Benn,2500,1.0,D,501534
Jacob Josefson,2500,1.5,C,504300
John Moore,2500,0.9,D,504301
Tim Erixon,2500,0.0,D,504303
Dylan Olsen,2500,0.0,D,504313
Brian Strait,2500,0.5,D,504763
Matt Martin,2500,0.8,LW,520230
Steven Kampfer,2500,0.0,D,543478
Brandon Bollig,2500,0.8,LW,543573
Chris VandeVelde,2500,0.9,C,543856
Michael Latta,2500,0.3,C,544143
Jarred Tinordi,2500,0.0,D,550772
Quinton Howden,2500,0.2,C,550775
Alex Petrovic,2500,1.6,D,554482
Jon Merrill,2500,0.4,D,554485
Patrik Nemeth,2500,0.0,D,554488
Connor Brickley,2500,1.1,C,554497
Stanislav Galiev,2500,1.3,RW,554546
Micheal Ferland,2500,1.2,LW,555764
Dalton Prout,2500,0.9,D,555860
Anthony Bitetto,2500,0.0,D,556337
