name,salary,points,position,id
Ray McCallum,4000,16.1,PG,567408
Bryce Cotton,4000,8.7,PG,575469
Austin Rivers,4000,14.0,SG,601139
Dez Wells,4000,0.0,SF,601176
Johnny O'Bryant,4000,6.3,PF,603100
Kadeem Jack,4000,0.0,C,605972
Youssou Ndoye,4000,0.0,C,606378
Branden Dawson,4000,0.0,SF,609448
James Michael McAdoo,4000,7.3,PF,609569
Rakeem Christmas,4000,0.0,PF,609792
Treveon Graham,4000,0.0,SG,609818
Keifer Sykes,4000,0.0,PG,610683
Michael Qualls,4000,0.0,SG,696063
Kyle Anderson,4000,7.5,SF,697720
Glenn Robinson III,4000,4.3,SF,698979
Mitch McGary,4000,15.0,PF,698982
Nick Wiggins,4000,0.0,SG,707833
Raul Neto,4000,0.0,PG,739966
Bobby Portis,4000,0.0,PF,750703
Tyler Ennis,4000,9.4,PG,786387
Cameron Payne,4000,0.0,PG,792338
Dante Exum,4000,11.5,PG,830636
Damien Inglis,4000,0.0,SF,830649
Damjan Rudez,4000,7.6,SF,833017
Cristiano Felício,4000,0.0,C,839018
Tyus Jones,4000,0.0,PG,842297
Devin Booker,4000,0.0,SG,845564
Trey Lyles,4000,0.0,PF,845596
Kevon Looney,4000,0.0,PF,846499
Rashad Vaughn,4000,0.0,SG,847010
